Energy,Spectra from Area #1-Spectrum,Spectra from Area #1-Background,Spectra from Area #1-Modeled,Spectra from Area #1-Residual
Energy,Intensity,Intensity,Intensity,Intensity
eV,Counts,Counts,Counts,Counts
-4.78E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.73E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.68E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.63E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.58E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.53E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.48E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.43E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.38E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.33E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.28E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.23E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.18E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.13E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.08E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-4.03E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.98E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.93E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.88E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.83E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.78E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.73E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.68E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.63E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.58E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.53E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.48E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.43E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.38E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.33E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.28E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.23E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.18E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.13E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.08E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.03E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.98E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.93E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.88E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.83E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.78E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.73E+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
